task_id,resolved,f2p,p2p,minutes,error
gql-incremental-graphql-delivery,0,0.882,1.0,32.6,
happy-dom-abort-pending-body-reads,0,,,,no-result
happy-dom-deterministic-intersectionobserver,0,0.857,1.0,25.1,
helm-array-merge-strategies,0,0.0,1.0,7.5,NonZeroAgentExitCodeError
helm-unified-manifest-stream,1,1.0,1.0,95.7,
httpx-deterministic-cookie-store,0,0.922,1.0,22.5,
httpx-multipart-response-parsing,1,1.0,1.0,20.5,
httpx-streaming-json-iteration,0,0.991,1.0,22.6,
igel-persist-feature-schema,0,0.917,1.0,22.7,
ink-grid-box-layout,0,0.88,1.0,52.6,
ipython-session-bundle-replay,0,0.824,1.0,29.4,
katex-multicolumn-array-spans,0,0.957,1.0,122.2,
kcp-go-multiplexed-kcp-streams,1,1.0,1.0,75.2,
kea-atomic-signal-selectors,0,0.917,1.0,26.6,
kgateway-consistent-hash-policy,1,1.0,1.0,68.8,
kombu-single-active-consumer-priority,0,0.976,1.0,25.3,
kombu-virtual-queue-dead-lettering,0,0.921,1.0,34.9,
koota-composite-trait-aspects,0,0.98,1.0,53.6,
koota-deferred-mutation-buffer,0,0.93,1.0,29.7,
koota-entity-snapshot-rollback,1,1.0,1.0,20.0,
koota-pair-relation-tracking,1,1.0,1.0,50.0,
koota-query-predicates,0,0.93,1.0,94.1,
kysely-window-grouping-helpers,0,0.0,1.0,33.6,
langchain-request-coalescing,0,0.86,1.0,44.8,
mashumaro-flattened-dataclass-fields,0,0.894,1.0,35.8,
meriyah-explicit-resource-declarations,0,0.796,1.0,58.4,
mnamer-daemon-watch-lifecycle,1,1.0,1.0,29.1,
mobly-grouped-test-barriers,1,1.0,1.0,31.0,
narwhals-rolling-window-suite,1,1.0,1.0,46.9,
numba-stencil-boundary-modes,0,0.759,1.0,66.2,
obsidian-linter-auto-table-of-contents,0,0.0,1.0,30.3,
obsidian-linter-link-format-conversion,1,1.0,1.0,26.7,
obsidian-linter-scoped-ignore-markers,0,0.485,0.999,41.1,
ofetch-per-origin-circuit-breaker,0,0.957,1.0,24.7,
onedump-dump-encryption-pipeline,0,0.183,1.0,23.6,
opa-rego-rule-profiling,0,0.88,1.0,23.7,
opa-template-string-reconstruction,0,0.4,1.0,108.8,
optique-conditional-option-dependencies,0,0.972,1.0,43.2,
oxvg-structural-selector-preservation,0,,,,no-result
participle-grammar-conflict-analysis,1,1.0,1.0,28.1,
pebble-durability-wait-apis,1,1.0,1.0,156.0,
pest-character-class-coalescing,0,0.788,1.0,33.0,
prometheus-transactional-reload-status,0,0.0,0.976,34.4,
prometheus-typed-label-sorting,1,1.0,1.0,57.8,
psd-tools-blend-range-api,0,0.822,1.0,19.5,
pwntools-tube-multiplexing,0,0.986,1.0,40.5,
python-statemachine-state-data-scoping,0,0.972,1.0,54.2,
query-persist-restored-query-state,0,1.0,0.976,38.8,
quill-shared-toolbar-focus,1,1.0,1.0,36.7,
returns-validated-error-accumulation,1,1.0,1.0,33.1,
scc-bounded-memory-spilling,1,1.0,1.0,25.1,
scriggo-method-declarations,0,0.0,1.0,23.4,NonZeroAgentExitCodeError
skrub-duration-encoding,0,0.954,1.0,40.6,
sql-formatter-bigquery-pipe-formatting,1,1.0,1.0,44.1,
sqlfmt-create-table-ddl-formatting,0,0.938,0.989,48.4,
sqlite-utils-safe-import-checkpoints,0,0.983,1.0,43.1,
superjson-error-stack-serialization,1,1.0,1.0,19.6,
task-task-graph-export,1,1.0,1.0,30.7,
tengo-callable-instance-isolation,0,0.957,1.0,28.1,
tengo-destructuring-bindings,0,0.868,1.0,48.5,
termenv-preserve-ansi-resets,0,0.857,1.0,27.0,
testem-bail-on-test-failure,0,0.978,1.0,34.2,
testem-per-launcher-reports,0,0.985,1.0,19.7,
textual-kitty-key-phases,0,0.0,1.0,185.9,NonZeroAgentExitCodeError
textual-richlog-follow-state,0,0.75,1.0,45.6,
tomlkit-toml-table-converters,0,0.967,1.0,30.3,
true-myth-iterable-collection-combinators,0,0.979,1.0,33.0,
ts-pattern-match-each,0,0.0,1.0,16.0,
updo-policy-alerting,0,0.765,1.0,19.4,
valibot-recursive-schema-composition,0,0.7,1.0,146.0,
vitest-duration-sharding,1,1.0,1.0,34.7,
vulture-persistent-analysis-cache,0,0.375,1.0,26.1,
wasmi-trap-coredumps,0,0.955,1.0,86.9,
wazero-multi-module-snapshots,1,1.0,1.0,21.9,
yaegi-go-embed-directives,1,1.0,1.0,74.3,
yjs-map-conflict-detection,0,0.889,1.0,48.8,
ytt-jsonpath-query-api,1,1.0,1.0,39.8,
