task_id,resolved,f2p,p2p,minutes,error,tool_calls,prompt_tok,cached_tok,output_tok,reasoning_chars,reasoning_tok
dynamodb-toolbox-lazy-recursive,0,0.0,1.0,45.7,NonZeroAgentExitCodeError,194,26203817,25609600,127522,302949,78419
effect-sse-httpapi-streaming,0,0.0,1.0,43.7,NonZeroAgentExitCodeError,226,33380882,32732800,130363,320144,83387
eicrud-keyset-pagination-cursor,0,0.0,0.952,41.1,,179,15731493,15257600,108259,305302,83485
etree-xml-diff-patch,1,1.0,1.0,29.5,,75,6292802,6038400,120474,253641,69233
expr-try-catch-errors,0,0.0,1.0,41.5,NonZeroAgentExitCodeError,158,23704772,23212800,141625,391566,105571
fastapi-deprecation-response-hea,1,1.0,1.0,22.4,,92,5854233,5601600,76716,206288,52999
fastapi-implicit-head-options,0,0.884,1.0,33.9,,184,16832432,16363200,115306,302158,72994
fd-deterministic-multi-key-sorti,0,0.93,1.0,22.5,,126,12392399,12000000,80134,171465,47950
geo-shapeindex-serialization,0,0.0,1.0,28.9,,108,8035114,7752000,95395,269728,71179
go-critic-doc-link-checker,0,0.667,0.938,32.3,,139,11051433,10720000,120770,333312,90376
go-genai-streamed-function-args,0,0.667,1.0,23.3,,116,10417398,10078400,81013,186239,47781
go-git-worktree-merge-conflicts,1,1.0,1.0,48.8,,213,26909914,26302400,164897,411842,113686
goreleaser-retry-publish-auditin,1,1.0,1.0,30.4,,173,17130086,16648000,91780,195687,49763
gql-incremental-graphql-delivery,0,0.706,1.0,29.9,,161,18408719,17944000,113058,291796,72025
happy-dom-abort-pending-body-rea,0,0.0,1.0,36.2,NonZeroAgentExitCodeError,170,20933075,20435200,132601,361221,88957
happy-dom-deterministic-intersec,0,0.857,1.0,37.0,,113,10051517,9744000,123900,395548,98296
helm-array-merge-strategies,0,0.957,1.0,34.4,,168,16721832,16296000,112502,279526,71187
helm-unified-manifest-stream,1,1.0,1.0,34.0,,163,16840147,16406400,127761,428710,107395
httpx-deterministic-cookie-store,0,0.913,1.0,30.3,,113,10797267,10488000,115398,301158,78091
httpx-multipart-response-parsing,1,1.0,1.0,23.1,,88,6062143,5820800,76415,201067,50851
httpx-streaming-json-iteration,1,1.0,1.0,20.7,,90,5290546,5064000,79298,199359,53426
igel-persist-feature-schema,1,1.0,1.0,18.3,,110,7056360,6763200,73357,166650,40770
ink-grid-box-layout,0,0.72,1.0,39.1,,125,16990295,16593600,136974,310228,85001
ipython-session-bundle-replay,0,0.765,1.0,27.8,,117,10067669,9760000,111211,299977,74153
katex-multicolumn-array-spans,0,0.0,1.0,48.5,,140,18738857,18283200,171381,555285,144704
kcp-go-multiplexed-kcp-streams,0,0.967,1.0,32.3,,64,5609794,5400000,110509,306004,78425
kea-atomic-signal-selectors,0,0.333,1.0,51.5,,128,18068083,17707200,160569,470358,120709
kgateway-consistent-hash-policy,0,0.0,1.0,54.5,,269,35508866,34764800,125728,268395,70744
kombu-single-active-consumer-pri,1,1.0,1.0,25.8,,114,9961873,9641600,86394,212160,50648
kombu-virtual-queue-dead-letteri,0,0.829,0.998,32.2,,141,13443233,13059200,118473,306134,76910
koota-composite-trait-aspects,0,0.0,1.0,42.0,NonZeroAgentExitCodeError,154,19501615,19046400,156296,390957,99433
koota-deferred-mutation-buffer,0,0.972,1.0,39.9,,144,19695885,19236800,149840,473934,118202
koota-entity-snapshot-rollback,0,0.976,1.0,17.8,,106,7209966,6908800,68670,153140,37043
koota-pair-relation-tracking,0,0.0,1.0,41.6,,159,22434422,21963200,166691,387850,98662
koota-query-predicates,0,0.0,1.0,37.0,NonZeroAgentExitCodeError,156,22117694,21646400,145196,425461,105206
kysely-window-grouping-helpers,0,0.0,1.0,34.1,,235,26800624,26156800,115578,235278,59984
langchain-request-coalescing,0,0.88,1.0,88.6,VerifierTimeout(reverified: patch leaks non-daemon thread; graded from rerun),115,8480170,8187200,96765,237241,58616
mashumaro-flattened-dataclass-fi,0,0.939,1.0,33.4,,155,17754819,17289600,124215,346049,86305
meriyah-explicit-resource-declar,0,0.0,1.0,39.6,NonZeroAgentExitCodeError,121,12643934,12283200,123787,399868,105630
mnamer-daemon-watch-lifecycle,1,1.0,1.0,31.8,,108,7978764,7708800,95337,222813,57154
mobly-grouped-test-barriers,1,1.0,1.0,30.1,,95,8748549,8470400,119340,356081,86096
narwhals-rolling-window-suite,1,1.0,1.0,32.2,,255,28656616,27963200,102174,133326,37740
numba-stencil-boundary-modes,0,0.69,1.0,54.6,,179,24384803,23889600,155880,380496,107843
obsidian-linter-auto-table-of-co,0,0.0,1.0,26.0,,126,12325151,11964800,85623,210103,58159
obsidian-linter-link-format-conv,1,1.0,1.0,26.2,,129,12096005,11723200,106415,296339,82360
obsidian-linter-scoped-ignore-ma,1,1.0,1.0,32.9,,100,10931363,10603200,115299,334669,85598
ofetch-per-origin-circuit-breake,1,1.0,1.0,47.9,,80,9419603,9176000,132364,379745,100124
onedump-dump-encryption-pipeline,1,1.0,1.0,16.5,,80,3764032,3553600,55118,95855,24860
opa-rego-rule-profiling,0,0.96,1.0,39.8,,167,16501705,16062400,160695,475234,115900
opa-template-string-reconstructi,0,0.0,1.0,67.2,NonZeroAgentExitCodeError,163,21600324,21148800,288975,578659,148067
optique-conditional-option-depen,0,0.944,1.0,30.6,,165,21099129,20580800,117511,323032,80839
oxvg-structural-selector-preserv,0,0.0,1.0,56.6,,180,27550481,26977600,146517,437679,109764
participle-grammar-conflict-anal,0,0.989,1.0,28.8,,115,9203115,8905600,105979,270991,70965
pebble-durability-wait-apis,0,0.0,1.0,37.0,,57,2626024,2443200,198489,163213,40686
pest-character-class-coalescing,0,0.788,1.0,38.8,,169,21323715,20812800,126425,339990,92622
prometheus-transactional-reload,0,0.0,0.976,32.9,,200,17883014,17364800,91848,159665,40117
prometheus-typed-label-sorting,0,0.941,1.0,35.0,,125,8189336,7904000,115115,276573,87406
psd-tools-blend-range-api,0,0.978,1.0,27.3,,135,13081152,12705600,102179,234505,64411
pwntools-tube-multiplexing,0,0.945,1.0,51.9,,176,21677549,21180800,144373,346326,92953
python-statemachine-state-data-s,0,0.972,1.0,37.4,,217,31190013,30564800,110323,256282,64257
query-persist-restored-query-sta,1,1.0,1.0,26.5,,121,11732172,11342400,110525,372543,90551
quill-shared-toolbar-focus,0,0.769,1.0,33.5,,132,15241807,14844800,121688,384971,93960
returns-validated-error-accumula,1,1.0,1.0,35.3,,166,15858418,15404800,120451,304439,79905
scc-bounded-memory-spilling,0,0.903,1.0,23.4,,136,13198429,12771200,85888,223619,55484
scriggo-method-declarations,0,0.0,1.0,53.0,,199,24284618,23742400,222213,517938,130233
skrub-duration-encoding,0,0.954,1.0,40.3,,219,28426776,27822400,87251,172824,46433
sql-formatter-bigquery-pipe-form,1,1.0,1.0,26.1,,137,13329320,12934400,80595,218610,57844
sqlfmt-create-table-ddl-formatti,1,1.0,1.0,44.6,,177,24559485,24046400,158900,465662,123274
sqlite-utils-safe-import-checkpo,1,1.0,1.0,39.2,,157,16989051,16563200,131581,294064,72316
superjson-error-stack-serializat,0,0.975,1.0,19.7,,70,5414694,5169600,89856,225511,59715
task-task-graph-export,1,1.0,1.0,26.8,,155,12476929,12078400,81400,210891,55632
tengo-callable-instance-isolatio,0,0.0,1.0,48.0,NonZeroAgentExitCodeError,179,25242006,24686400,166851,383833,104300
tengo-destructuring-bindings,0,0.0,1.0,44.6,,153,23717096,23222400,154713,386627,111773
termenv-preserve-ansi-resets,0,0.771,1.0,23.5,,91,5815153,5584000,88170,202496,58713
testem-bail-on-test-failure,0,0.922,1.0,32.3,,164,19130053,18651200,97031,198592,52516
testem-per-launcher-reports,0,0.985,1.0,19.6,,125,9135330,8808000,75297,129312,33410
textual-kitty-key-phases,0,0.0,1.0,43.3,,40,987664,809600,148378,161533,48219
textual-richlog-follow-state,0,0.0,1.0,41.1,,221,28814772,28216000,162418,480184,120185
tomlkit-toml-table-converters,1,1.0,1.0,42.0,,121,13678005,13364800,170127,443355,124285
true-myth-iterable-collection-co,0,0.771,1.0,32.9,,160,21727125,21217600,113337,190940,55476
ts-pattern-match-each,0,0.0,1.0,20.9,,76,5295193,5080000,87564,225510,61134
updo-policy-alerting,0,0.706,1.0,20.8,,93,6051933,5804800,75412,155230,38947
valibot-recursive-schema-composi,0,0.0,1.0,51.0,NonZeroAgentExitCodeError,135,16577676,16195200,175594,512149,137924
vitest-duration-sharding,0,0.964,1.0,34.3,,201,20856678,20294400,111530,267340,71617
vulture-persistent-analysis-cach,1,1.0,1.0,27.3,,84,7662402,7409600,108401,271825,67228
wasmi-trap-coredumps,0,0.0,1.0,33.0,,128,19234290,18755200,114894,302892,82227
wazero-multi-module-snapshots,0,0.936,1.0,18.2,,70,3813297,3644800,80260,192636,49355
yaegi-go-embed-directives,0,0.0,1.0,98.0,NonZeroAgentExitCodeError,116,11553327,11236800,256065,714520,181457
yjs-map-conflict-detection,1,1.0,1.0,41.3,,166,23069585,22563200,148820,404230,102360
ytt-jsonpath-query-api,1,1.0,1.0,23.2,,106,7949264,7684800,97173,187290,55600
